[1, 'Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi', 'active'],
[2, 'Kementerian Kesehatan', 'active'],
[3, 'Kementerian Pertahanan', 'active'],
[4, 'Kementerian Keuangan', 'active'],
[5, 'Kementerian Dalam Negeri', 'active'],
[6, 'Kementerian Energi dan Sumber Daya Mineral', 'active'],
[7, 'Kementerian Perhubungan', 'active'],
[8, 'Kementerian Pekerjaan Umum dan Perumahan Rakyat', 'active'],
[9, 'Kementerian Luar Negeri', 'active'],
[10, 'Kementerian Agama', 'active'],
[11, 'Kementerian Sosial', 'active'],
[12, 'Kementerian Riset dan Teknologi', 'active'],
[13, 'Kementerian Koperasi dan UKM', 'active'],
[14, 'Kementerian Perdagangan', 'active'],
[15, 'Kementerian Perindustrian', 'active'],
[16, 'Kementerian Kelautan dan Perikanan', 'active'],
[17, 'Kementerian Pertanian', 'active'],
[18, 'Kementerian Pariwisata dan Ekonomi Kreatif', 'active'],
[19, 'Kementerian Hukum dan HAM', 'active'],
[20, 'Kementerian Komunikasi dan Informatika', 'active'],
[21, 'Kementerian Pembangunan Daerah Tertinggal dan Transmigrasi', 'active'],
[22, 'Kementerian Lingkungan Hidup dan Kehutanan', 'active'],
